standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score
O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,1.4846037414552258,HIT102925372.pdbqt,O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,-7.8,ligprep_chemdiv-stock1_01_400000_split-10_7.sdf:25605,O=C(Cn1c(=O)c2ccccc2n(CC(=O)Nc2cccc(F)c2)c1=O)NCCc1ccccc1,-7.02153,2.11531
Cc1ccc2c(c1)N(S(C)(=O)=O)CCC(C(=O)Nc1ccccc1Br)O2,0.5628577303505619,HIT105432716.pdbqt,Cc1ccc2c(c1)N(S(C)(=O)=O)CCC(C(=O)Nc1ccccc1Br)O2,-8.0,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:15124,Cc1ccc2c(c1)N(S(C)(=O)=O)CC[C@H](C(=O)Nc1ccccc1Br)O2,-5.89057,2.08355
COc1ccc(C(=O)N2c3cc(C)ccc3C(Nc3ccc(C)cc3)CC2C)cc1,2.099525044623188,HIT104714523.pdbqt,COc1ccc(C(=O)N2c3cc(C)ccc3C(Nc3ccc(C)cc3)CC2C)cc1,-7.8,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:11491,COc1ccc(C(=O)N2c3cc(C)ccc3[C@H](Nc3ccc(C)cc3)C[C@H]2C)cc1,-5.92788,2.07898
C#CCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,0.6847115017472686,HIT103101895.pdbqt,C#CCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3109,C#CCOc1ccc([C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,-6.33569,2.05531
O=c1[nH]c2c(c(=O)[nH]1)C(c1cccc(Br)c1)c1c(ccc3ccccc13)N2,1.7205239443155,HIT106516675.pdbqt,O=c1[nH]c2c(c(=O)[nH]1)C(c1cccc(Br)c1)c1c(ccc3ccccc13)N2,-8.4,ligprep_chemdiv-stock1_01_400000_split-10_5.sdf:22551,O=c1[nH]c2c(c(=O)[nH]1)[C@H](c1cccc(Br)c1)c1c(ccc3ccccc13)N2,-6.00732,2.04056
COc1cc(C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)ccc1OC(C)C,2.014009226604605,HIT103953559.pdbqt,COc1cc(C2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)ccc1OC(C)C,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3197,COc1cc([C@H]2CC(=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)ccc1OC(C)C,-5.89247,2.02009
CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)NC2c1ccc(Cl)c(Cl)c1,0.7651241314660808,HIT102606339.pdbqt,CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)NC2c1ccc(Cl)c(Cl)c1,-8.1,ligprep_chemdiv-stock1_01_400000_split-10_4.sdf:18826,CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)N[C@H]2c1ccc(Cl)c(Cl)c1,-7.02621,2.00822
CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)NC2c1cc(Br)c(O)c(Br)c1,0.7262695502818954,HIT104991387.pdbqt,CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)NC2c1cc(Br)c(O)c(Br)c1,-8.2,ligprep_chemdiv-stock1_01_400000_split-10_0.sdf:22492,CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)N[C@H]2c1cc(Br)c(O)c(Br)c1,-6.60227,1.97849
COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(OC)cc4)C3=O)c2)cc1,2.1486484977549867,HIT101219387.pdbqt,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(OC)cc4)C3=O)c2)cc1,-7.7,ligprep_chemdiv-stock1_04_414266_split-10_3.sdf:37533,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(OC)cc4)C3=O)c2)cc1,-6.48813,1.95631
Cc1ccc(C2=CC(c3cc(Br)ccc3OC(F)F)n3nnnc3N2)cc1,2.089797620894495,HIT105100948.pdbqt,Cc1ccc(C2=CC(c3cc(Br)ccc3OC(F)F)n3nnnc3N2)cc1,-7.8,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:24793,Cc1ccc(C2=C[C@H](c3cc(Br)ccc3OC(F)F)n3nnnc3N2)cc1,-8.0763,1.95309
